,geo_level,region,state,year,week,age,flu_deaths,pneu_deaths,pneu_flu_deaths,all_deaths
349,State,,New York,2017,6,All,,,176.0,2161.0
350,State,,Wyoming,2018,34,All,,,9.0,84.0
351,State,,Ohio,2018,30,All,,,102.0,2104.0
352,State,,Maine,2018,39,All,,,21.0,299.0
353,State,,Idaho,2018,42,All,,,12.0,267.0
354,State,,Connecticut,2018,32,All,,,21.0,557.0
355,State,,New York City,2018,1,All,,,114.0,1321.0
356,State,,Virginia,2018,34,All,,,64.0,1217.0
357,State,,District of Columbia,2018,37,All,,,1.0,85.0
358,State,,Nebraska,2018,35,All,,,13.0,295.0
359,State,,Washington,2018,7,All,,,98.0,1121.0
360,State,,Iowa,2018,21,All,,,35.0,551.0
361,State,,District of Columbia,2018,39,All,,,4.0,95.0
362,State,,Delaware,2018,26,All,,,7.0,184.0
363,Region,1,,2018,6,All,63.0,234.0,297.0,2887.0
364,Region,1,,2018,5,All,79.0,245.0,324.0,2823.0
365,Region,1,,2018,24,All,0.0,147.0,147.0,2402.0
366,State,,Connecticut,2018,23,All,,,36.0,568.0
367,State,,South Dakota,2018,42,All,,,12.0,173.0
368,Region,3,,2018,23,All,0.0,281.0,281.0,5454.0
369,State,,South Dakota,2018,38,All,,,10.0,137.0
370,State,,Minnesota,2018,32,All,,,45.0,849.0
371,State,,Maryland,2018,39,All,,,61.0,894.0
372,State,,Colorado,2018,35,All,,,40.0,708.0
373,State,,Connecticut,2018,26,All,,,32.0,550.0
374,Region,8,,2018,3,All,53.0,118.0,171.0,1795.0
375,State,,Missouri,2018,10,All,,,99.0,1248.0
376,State,,District of Columbia,2018,38,All,,,3.0,94.0
377,State,,Utah,2018,42,All,,,13.0,359.0
378,State,,Maryland,2018,13,All,,,78.0,1020.0
379,Region,1,,2018,23,All,0.0,146.0,146.0,2404.0
380,State,,Alabama,2018,26,All,,,49.0,971.0
381,Region,10,,2018,30,All,0.0,78.0,78.0,1955.0
382,State,,Washington,2018,49,All,,,62.0,1083.0
383,State,,Virginia,2018,3,All,,,138.0,1519.0
384,State,,Louisiana,2018,20,All,,,31.0,879.0
385,State,,Nevada,2018,8,All,,,52.0,483.0
387,Region,2,,2018,18,All,10.0,317.0,327.0,4439.0
388,State,,Pennsylvania,2018,12,All,,,163.0,2741.0
389,State,,South Carolina,2018,19,All,,,53.0,902.0
390,State,,Louisiana,2018,10,All,,,51.0,823.0
391,State,,Hawaii,2018,49,All,,,17.0,231.0
392,State,,New Hampshire,2018,38,All,,,10.0,253.0
393,State,,West Virginia,2018,26,All,,,40.0,415.0
394,State,,Washington,2018,30,All,,,45.0,995.0
395,State,,New York,2018,11,All,,,205.0,2015.0
396,State,,New York City,2018,37,All,,,61.0,925.0
397,Region,9,,2018,15,All,25.0,488.0,513.0,6939.0
398,National,,,2017,27,All,18.0,2823.0,2841.0,50959.0
399,State,,Illinois,2018,31,All,,,102.0,1960.0
400,State,,New York City,2018,9,All,,,115.0,1088.0
401,State,,Maryland,2018,20,All,,,48.0,879.0
402,State,,Washington,2018,32,All,,,42.0,1026.0
403,State,,Alaska,2018,39,All,,,7.0,83.0
404,State,,Florida,2018,26,All,,,189.0,3713.0
405,State,,District of Columbia,2018,45,All,,,2.0,90.0
406,Region,7,,2018,10,All,48.0,204.0,252.0,2768.0
407,State,,Nevada,2018,50,All,,,36.0,477.0
408,Region,8,,2018,46,All,1.0,97.0,98.0,1662.0
409,State,,Arkansas,2018,46,All,,,51.0,655.0
410,State,,South Dakota,2018,35,All,,,9.0,152.0
411,State,,Nevada,2018,48,All,,,27.0,493.0
412,State,,Oklahoma,2018,40,All,,,62.0,744.0
413,Region,10,,2018,12,All,34.0,120.0,154.0,2287.0
414,State,,Pennsylvania,2018,17,All,,,162.0,2660.0
415,State,,New York City,2018,35,All,,,52.0,947.0
417,State,,Tennessee,2018,39,All,,,76.0,1257.0
418,State,,Delaware,2018,40,All,,,7.0,179.0
419,State,,Kansas,2018,29,All,,,33.0,497.0
420,State,,Kansas,2018,33,All,,,20.0,488.0
421,State,,Oklahoma,2018,51,All,,,62.0,760.0
422,Region,9,,2018,10,All,56.0,684.0,740.0,7896.0
423,State,,Maryland,2018,36,All,,,57.0,876.0
424,State,,Massachusetts,2016,29,All,,,68.0,993.0
425,Region,7,,2018,25,All,0.0,130.0,130.0,2431.0
426,State,,Alabama,2018,42,All,,,56.0,992.0
427,State,,South Dakota,2018,23,All,,,9.0,171.0
428,State,,Hawaii,2018,14,All,,,24.0,222.0
429,State,,Hawaii,2018,39,All,,,15.0,218.0
430,State,,Tennessee,2018,16,All,,,83.0,1245.0
431,State,,California,2018,10,All,,,569.0,5893.0
432,State,,Michigan,2018,38,All,,,89.0,1769.0
433,State,,Tennessee,2018,20,All,,,83.0,1283.0
434,State,,Massachusetts,2018,36,All,,,56.0,1039.0
435,State,,South Carolina,2018,32,All,,,52.0,987.0
437,Region,1,,2018,26,All,1.0,141.0,142.0,2366.0
438,State,,Pennsylvania,2018,16,All,,,170.0,2702.0
439,State,,Alabama,2018,48,All,,,50.0,1046.0
440,State,,Colorado,2018,26,All,,,39.0,654.0
441,State,,New York,2018,19,All,,,123.0,1845.0
442,State,,Florida,2018,21,All,,,179.0,3663.0
443,State,,Oklahoma,2018,44,All,,,57.0,787.0
444,State,,Rhode Island,2018,48,All,,,8.0,181.0
445,State,,Louisiana,2018,9,All,,,56.0,780.0
446,State,,Texas,2018,22,All,,,220.0,3680.0
447,National,,,2016,33,0-17 years,0.0,9.0,9.0,732.0
448,State,,Georgia,2018,22,All,,,73.0,1581.0
449,Region,8,,2018,30,All,0.0,82.0,82.0,1546.0
450,State,,Virginia,2018,35,All,,,48.0,1200.0
451,State,,Washington,2018,45,All,,,63.0,1075.0
452,State,,Michigan,2018,8,All,,,173.0,2059.0
453,State,,Iowa,2018,8,All,,,69.0,669.0
454,State,,Nebraska,2018,46,All,,,27.0,332.0
455,State,,Connecticut,2018,39,All,,,40.0,581.0
456,State,,Hawaii,2018,4,All,,,35.0,215.0
457,State,,Washington,2018,27,All,,,54.0,1144.0
458,State,,Arizona,2018,10,All,,,104.0,1263.0
459,Region,4,,2018,1,All,148.0,1047.0,1195.0,14283.0
460,State,,Oregon,2018,33,All,,,20.0,645.0
461,Region,2,,2018,16,All,10.0,331.0,341.0,4547.0
463,State,,Connecticut,2018,28,All,,,36.0,567.0
464,National,,,2016,33,65 years and older,3.0,2334.0,2337.0,36143.0
465,State,,Georgia,2018,5,All,,,180.0,1906.0
466,Region,1,,2018,20,All,4.0,154.0,158.0,2431.0
467,Region,8,,2018,15,All,7.0,95.0,102.0,1677.0
468,State,,New Jersey,2018,19,All,,,67.0,1310.0
469,State,,West Virginia,2018,49,All,,,32.0,461.0
470,State,,New Mexico,2018,9,All,,,39.0,402.0
471,State,,Iowa,2018,42,All,,,36.0,618.0
472,State,,Georgia,2018,13,All,,,103.0,1655.0
473,State,,Wisconsin,2018,32,All,,,44.0,1027.0
474,State,,Louisiana,2018,18,All,,,39.0,833.0
475,State,,Virginia,2018,10,All,,,83.0,1333.0
476,State,,Hawaii,2018,7,All,,,23.0,234.0
477,State,,Louisiana,2018,38,All,,,36.0,855.0
478,State,,Missouri,2018,48,All,,,72.0,1132.0
479,State,,Rhode Island,2018,43,All,,,13.0,188.0
480,State,,Tennessee,2018,31,All,,,74.0,1354.0
481,State,,Utah,2018,9,All,,,28.0,394.0
482,State,,South Dakota,2018,44,All,,,20.0,163.0
483,State,,South Carolina,2018,37,All,,,46.0,954.0
484,State,,West Virginia,2018,17,All,,,32.0,454.0
485,State,,Louisiana,2018,14,All,,,41.0,891.0
486,State,,Nebraska,2018,49,All,,,24.0,318.0
